Funcion,Dimension,CR,F,Poblacion,Evaluaciones,Tiempo,Mejor encontrado
rosenbrock,10,0.9,0.9,100,100000,4.539331064999715,8.409619663184625
rosenbrock,10,0.9,0.9,100,100000,4.5395286769999075,9.409458952077
rosenbrock,10,0.9,0.9,100,100000,4.573075017000519,11.50249963888017
rosenbrock,10,0.9,0.9,100,100000,4.5968780260009225,5.966509653804941
rosenbrock,10,0.9,0.9,100,100000,4.501165494999441,10.979234516478108
rosenbrock,10,0.9,0.9,100,100000,4.488894893001998,7.683495954069247
rastrigin,10,0.1,0.7,100,100000,5.113280338002369,9.412559620614047e-10
rastrigin,10,0.1,0.7,100,100000,5.013736650002102,7.545253311036504e-10
rastrigin,10,0.1,0.7,100,100000,5.079471991000901,3.90458154697626e-08
rastrigin,10,0.1,0.7,100,100000,5.072350734997599,2.4230757844634354e-08
rastrigin,10,0.1,0.7,100,100000,5.181981875000929,4.579348455990839e-09
rastrigin,10,0.1,0.7,100,100000,5.077670784001384,6.269431196415098e-09
rastrigin,10,0.1,0.7,100,100000,5.063435296000534,1.3193073300499236e-09
rastrigin,10,0.1,0.7,100,100000,5.0568920120022085,5.411280312728195e-09
rastrigin,10,0.1,0.7,100,100000,5.014559633000317,1.4653082303084375e-08
rastrigin,10,0.1,0.7,100,100000,5.1478362859998015,1.4691735827909724e-08
rastrigin,10,0.5,0.7,100,100000,5.054276867002045,32.84207300654546
rastrigin,10,0.5,0.7,100,100000,5.17821936800101,20.753223846162072
rastrigin,10,0.5,0.7,100,100000,5.110470730000088,36.31354097075524
rastrigin,10,0.5,0.7,100,100000,5.13798936600142,30.629756177179132
rastrigin,10,0.5,0.7,100,100000,4.954288947999885,41.11245033849785
rastrigin,10,0.5,0.7,100,100000,5.0095589850025135,34.07589602810549
rastrigin,10,0.5,0.7,100,100000,5.004766433998157,26.502046130348972
rastrigin,10,0.5,0.7,100,100000,5.035519668002962,20.90028580953694
rastrigin,10,0.5,0.7,100,100000,4.993767406998813,27.31271791888294
rastrigin,10,0.5,0.7,100,100000,4.917542596002022,30.175399398834216
rastrigin,10,0.9,0.7,100,100000,5.063660069001344,49.38416997910598
rastrigin,10,0.9,0.7,100,100000,5.115215499998158,63.67699021651732
rastrigin,10,0.9,0.7,100,100000,4.993478445998335,42.336894255185996
rastrigin,10,0.9,0.7,100,100000,5.255992210997647,67.3255335757245
rastrigin,10,0.9,0.7,100,100000,5.037375674997747,56.971979260203526
rastrigin,10,0.9,0.7,100,100000,5.117735285999515,58.70530441411875
rastrigin,10,0.9,0.7,100,100000,5.044296391999524,52.02894716966259
rastrigin,10,0.9,0.7,100,100000,5.1451483689997985,50.87898634577517
rastrigin,10,0.9,0.7,100,100000,5.130881220000447,54.349456483432064
rastrigin,10,0.9,0.7,100,100000,5.032977697002934,52.108806345983425
sphere,30,0.9,0.7,100,300000,15.5929882690034,0.04987876826074271
sphere,30,0.9,0.7,100,300000,15.076201935997233,0.1279384950221488
sphere,30,0.9,0.7,100,300000,14.997706147998542,0.09539096559470407
sphere,30,0.9,0.7,100,300000,14.946371444999386,0.16215702035781163
sphere,30,0.9,0.7,100,300000,14.932667428001878,0.09285352953708034
sphere,30,0.9,0.7,100,300000,15.104518281998025,0.10170275320156413
sphere,30,0.9,0.7,100,300000,15.133186578001187,0.14152934103738868
